Factory,Date,Location,Machine Type,Machine Utilization (%),Machine Downtime (hours),Maintenance History,Machine Age (years),Batch,Batch Quality (Pass %),Cycle Time (minutes),Energy Consumption (kWh),Energy Efficiency Rating,CO2 Emissions (kg),Emission Limit Compliance,Waste Generated (kg),Water Usage (liters),Shift,Operator Experience (years),Team Size,Team Members,Operator Training Level,Absenteeism Rate (%),Product Category,Supplier,Supplier Delays (days),Raw Material Quality,Market Demand Index,Cost of Downtime ($),Revenue ($),Profit Margin (%),Breakdowns (count),Safety Incidents (count),Production Volume (units),Defect Rate (%),Temperature (°C),Pressure (psi),Chemical Ratio,Mixing Speed (RPM)
Factory 1,2020-01-04,Location A,Type 1,59,0.0,Irregular,6.34,Batch 11,91.54,10,665,2,826,No,100,2000,Shift 2,6.15,4,"[{'Name': 'Member_10_0', 'Operator Experience (years)': 9.9, 'Operator Training Level': 3.6, 'Absenteeism Rate (%)': 0.88}, {'Name': 'Member_10_1', 'Operator Experience (years)': 7.9, 'Operator Training Level': 3.8, 'Absenteeism Rate (%)': 3.3}, {'Name': 'Member_10_2', 'Operator Experience (years)': 5.7, 'Operator Training Level': 2.1, 'Absenteeism Rate (%)': 2.2}, {'Name': 'Member_10_3', 'Operator Experience (years)': 1.1, 'Operator Training Level': 1.8, 'Absenteeism Rate (%)': 1.9}]",28.25,2.07,Category A,Supplier Z,0,0,70,0.0,321677.48,20.63,3.6,3.13,643.46,7.91,65.0,150.0,3.0,200.2
Factory 1,2020-01-04,Location A,Type 3,57,0.5,Irregular,7.05,Batch 12,86.42,30,932,1,774,No,500,10000,Shift 3,5.12,4,"[{'Name': 'Member_11_0', 'Operator Experience (years)': 6.6, 'Operator Training Level': 3.4, 'Absenteeism Rate (%)': 2.46}, {'Name': 'Member_11_1', 'Operator Experience (years)': 7.9, 'Operator Training Level': 3.6, 'Absenteeism Rate (%)': 2.5}, {'Name': 'Member_11_2', 'Operator Experience (years)': 3.4, 'Operator Training Level': 2.0, 'Absenteeism Rate (%)': 6.2}, {'Name': 'Member_11_3', 'Operator Experience (years)': 2.6, 'Operator Training Level': 1.0, 'Absenteeism Rate (%)': 6.0}]",30.75,4.29,Category C,Supplier Z,10,1,150,29028.61,464425.26,26.62,5.45,4.57,580.57,5.59,65.0,149.9,3.1,200.0
Factory 1,2020-01-05,Location A,Type 3,57,0.5,Irregular,7.05,Batch 13,86.5,30,932,1,774,No,500,10000,Shift 1,6.02,4,"[{'Name': 'Member_12_0', 'Operator Experience (years)': 9.8, 'Operator Training Level': 3.3, 'Absenteeism Rate (%)': 0.63}, {'Name': 'Member_12_1', 'Operator Experience (years)': 8.0, 'Operator Training Level': 3.0, 'Absenteeism Rate (%)': 1.5}, {'Name': 'Member_12_2', 'Operator Experience (years)': 3.7, 'Operator Training Level': 2.3, 'Absenteeism Rate (%)': 2.5}, {'Name': 'Member_12_3', 'Operator Experience (years)': 2.6, 'Operator Training Level': 1.5, 'Absenteeism Rate (%)': 8.2}]",33.27,3.21,Category C,Supplier Z,10,1,150,28771.11,460304.21,26.52,4.91,3.14,575.42,5.82,65.0,150.0,3.0,200.0
Factory 1,2020-01-05,Location A,Type 3,57,0.5,Irregular,7.05,Batch 14,86.73,30,932,1,774,No,500,10000,Shift 2,3.65,4,"[{'Name': 'Member_13_0', 'Operator Experience (years)': 5.3, 'Operator Training Level': 4.1, 'Absenteeism Rate (%)': 2.31}, {'Name': 'Member_13_1', 'Operator Experience (years)': 5.7, 'Operator Training Level': 3.2, 'Absenteeism Rate (%)': 4.7}, {'Name': 'Member_13_2', 'Operator Experience (years)': 2.0, 'Operator Training Level': 3.0, 'Absenteeism Rate (%)': 4.6}, {'Name': 'Member_13_3', 'Operator Experience (years)': 1.6, 'Operator Training Level': 2.0, 'Absenteeism Rate (%)': 8.2}]",36.35,4.95,Category C,Supplier Z,10,1,150,30563.61,488983.97,26.67,5.79,3.98,611.27,5.52,65.2,150.0,2.9,200.0
Factory 1,2020-01-05,Location A,Type 1,59,0.0,Irregular,6.34,Batch 15,92.18,10,665,2,826,No,100,2000,Shift 3,3.9,4,"[{'Name': 'Member_14_0', 'Operator Experience (years)': 5.2, 'Operator Training Level': 4.1, 'Absenteeism Rate (%)': 0.29}, {'Name': 'Member_14_1', 'Operator Experience (years)': 4.0, 'Operator Training Level': 2.2, 'Absenteeism Rate (%)': 4.0}, {'Name': 'Member_14_2', 'Operator Experience (years)': 2.4, 'Operator Training Level': 2.9, 'Absenteeism Rate (%)': 3.9}, {'Name': 'Member_14_3', 'Operator Experience (years)': 4.0, 'Operator Training Level': 1.1, 'Absenteeism Rate (%)': 2.7}]",38.92,2.72,Category A,Supplier Z,0,0,70,0.0,349098.15,20.68,3.93,2.73,698.31,7.91,65.0,150.0,3.0,200.0
Factory 1,2020-01-06,Location A,Type 3,57,0.5,Irregular,7.05,Batch 16,87.08,30,932,1,774,No,500,10000,Shift 1,5.58,4,"[{'Name': 'Member_15_0', 'Operator Experience (years)': 7.6, 'Operator Training Level': 3.4, 'Absenteeism Rate (%)': 2.5}, {'Name': 'Member_15_1', 'Operator Experience (years)': 7.8, 'Operator Training Level': 3.7, 'Absenteeism Rate (%)': 4.3}, {'Name': 'Member_15_2', 'Operator Experience (years)': 5.8, 'Operator Training Level': 1.4, 'Absenteeism Rate (%)': 0.7}, {'Name': 'Member_15_3', 'Operator Experience (years)': 1.1, 'Operator Training Level': 1.2, 'Absenteeism Rate (%)': 1.2}]",41.35,2.17,Category C,Supplier Z,10,1,150,30458.61,487300.28,26.4,4.4,2.47,609.17,6.14,65.2,150.0,3.0,200.0
Factory 1,2020-01-06,Location A,Type 1,59,0.0,Irregular,6.34,Batch 17,91.7,10,665,2,826,No,100,2000,Shift 2,4.92,4,"[{'Name': 'Member_16_0', 'Operator Experience (years)': 5.8, 'Operator Training Level': 4.4, 'Absenteeism Rate (%)': 0.65}, {'Name': 'Member_16_1', 'Operator Experience (years)': 6.1, 'Operator Training Level': 2.6, 'Absenteeism Rate (%)': 0.1}, {'Name': 'Member_16_2', 'Operator Experience (years)': 3.1, 'Operator Training Level': 2.3, 'Absenteeism Rate (%)': 4.4}, {'Name': 'Member_16_3', 'Operator Experience (years)': 4.7, 'Operator Training Level': 1.3, 'Absenteeism Rate (%)': 6.5}]",44.0,2.91,Category A,Supplier Z,0,0,70,0.0,331826.78,20.73,4.03,2.93,663.76,7.77,65.0,150.0,3.0,200.0
Factory 1,2020-01-06,Location A,Type 3,57,0.5,Irregular,7.05,Batch 18,86.47,30,932,1,774,No,500,10000,Shift 3,5.08,4,"[{'Name': 'Member_17_0', 'Operator Experience (years)': 6.9, 'Operator Training Level': 3.4, 'Absenteeism Rate (%)': 1.5}, {'Name': 'Member_17_1', 'Operator Experience (years)': 7.5, 'Operator Training Level': 2.5, 'Absenteeism Rate (%)': 4.6}, {'Name': 'Member_17_2', 'Operator Experience (years)': 1.7, 'Operator Training Level': 2.4, 'Absenteeism Rate (%)': 6.6}, {'Name': 'Member_17_3', 'Operator Experience (years)': 4.2, 'Operator Training Level': 1.2, 'Absenteeism Rate (%)': 4.2}]",46.37,4.22,Category C,Supplier Z,10,1,150,29178.61,466824.95,26.61,5.42,4.57,583.57,5.61,65.0,150.0,3.0,200.0
Factory 1,2020-01-07,Location A,Type 2,53,0.0,Irregular,8.89,Batch 19,90.18,20,877,1,867,No,300,6000,Shift 1,4.3,4,"[{'Name': 'Member_18_0', 'Operator Experience (years)': 8.7, 'Operator Training Level': 4.0, 'Absenteeism Rate (%)': 1.02}, {'Name': 'Member_18_1', 'Operator Experience (years)': 3.4, 'Operator Training Level': 3.3, 'Absenteeism Rate (%)': 4.5}, {'Name': 'Member_18_2', 'Operator Experience (years)': 1.0, 'Operator Training Level': 2.1, 'Absenteeism Rate (%)': 2.4}, {'Name': 'Member_18_3', 'Operator Experience (years)': 4.1, 'Operator Training Level': 1.8, 'Absenteeism Rate (%)': 2.3}]",49.17,2.55,Category B,Supplier X,0,0,50,0.0,396366.16,12.59,4.66,3.83,660.69,7.2,65.0,150.1,3.0,200.0
Factory 1,2020-01-07,Location A,Type 3,57,0.5,Irregular,7.05,Batch 20,87.21,30,932,1,774,No,500,10000,Shift 2,5.15,4,"[{'Name': 'Member_19_0', 'Operator Experience (years)': 8.0, 'Operator Training Level': 4.9, 'Absenteeism Rate (%)': 0.39}, {'Name': 'Member_19_1', 'Operator Experience (years)': 4.4, 'Operator Training Level': 3.3, 'Absenteeism Rate (%)': 2.2}, {'Name': 'Member_19_2', 'Operator Experience (years)': 4.6, 'Operator Training Level': 1.9, 'Absenteeism Rate (%)': 3.0}, {'Name': 'Member_19_3', 'Operator Experience (years)': 3.6, 'Operator Training Level': 1.7, 'Absenteeism Rate (%)': 3.6}]",52.12,2.3,Category C,Supplier Z,10,1,150,30993.61,495859.61,26.41,4.46,3.47,619.87,6.14,65.0,150.0,3.0,200.0
Factory 1,2020-01-07,Location A,Type 1,59,0.0,Irregular,6.34,Batch 21,91.64,10,665,2,826,No,100,2000,Shift 3,5.22,4,"[{'Name': 'Member_0_0', 'Operator Experience (years)': 10.0, 'Operator Training Level': 3.6, 'Absenteeism Rate (%)': 0.45}, {'Name': 'Member_0_1', 'Operator Experience (years)': 3.6, 'Operator Training Level': 2.7, 'Absenteeism Rate (%)': 3.6}, {'Name': 'Member_0_2', 'Operator Experience (years)': 4.4, 'Operator Training Level': 1.6, 'Absenteeism Rate (%)': 3.6}, {'Name': 'Member_0_3', 'Operator Experience (years)': 2.9, 'Operator Training Level': 1.3, 'Absenteeism Rate (%)': 3.3}]",2.3,2.74,Category A,Supplier Z,0,0,70,0.0,329027.06,20.71,3.94,1.31,658.16,7.79,65.0,150.0,3.1,200.0
Factory 1,2020-01-08,Location A,Type 2,53,0.0,Irregular,8.89,Batch 22,89.77,20,877,1,867,No,300,6000,Shift 1,4.7,4,"[{'Name': 'Member_1_0', 'Operator Experience (years)': 8.2, 'Operator Training Level': 4.4, 'Absenteeism Rate (%)': 1.52}, {'Name': 'Member_1_1', 'Operator Experience (years)': 4.6, 'Operator Training Level': 2.2, 'Absenteeism Rate (%)': 1.3}, {'Name': 'Member_1_2', 'Operator Experience (years)': 3.4, 'Operator Training Level': 1.7, 'Absenteeism Rate (%)': 6.1}, {'Name': 'Member_1_3', 'Operator Experience (years)': 2.6, 'Operator Training Level': 1.7, 'Absenteeism Rate (%)': 3.8}]",4.8,3.18,Category B,Supplier X,0,0,50,0.0,381729.23,12.68,4.97,2.56,636.29,6.99,65.0,150.0,3.0,200.0
Factory 1,2020-01-08,Location A,Type 2,53,0.0,Irregular,8.89,Batch 23,89.59,20,877,1,867,No,300,6000,Shift 2,5.65,4,"[{'Name': 'Member_2_0', 'Operator Experience (years)': 8.9, 'Operator Training Level': 4.4, 'Absenteeism Rate (%)': 1.85}, {'Name': 'Member_2_1', 'Operator Experience (years)': 6.6, 'Operator Training Level': 2.9, 'Absenteeism Rate (%)': 4.8}, {'Name': 'Member_2_2', 'Operator Experience (years)': 4.3, 'Operator Training Level': 1.6, 'Absenteeism Rate (%)': 4.0}, {'Name': 'Member_2_3', 'Operator Experience (years)': 2.8, 'Operator Training Level': 1.2, 'Absenteeism Rate (%)': 0.1}]",7.32,2.69,Category B,Supplier X,0,0,50,0.0,370540.15,12.63,4.72,3.42,617.64,7.06,65.0,150.0,3.0,200.0
Factory 1,2020-01-08,Location A,Type 3,57,0.5,Irregular,7.05,Batch 24,87.79,30,932,1,774,No,500,10000,Shift 3,3.95,4,"[{'Name': 'Member_3_0', 'Operator Experience (years)': 6.2, 'Operator Training Level': 3.4, 'Absenteeism Rate (%)': 1.99}, {'Name': 'Member_3_1', 'Operator Experience (years)': 3.5, 'Operator Training Level': 3.8, 'Absenteeism Rate (%)': 1.2}, {'Name': 'Member_3_2', 'Operator Experience (years)': 2.6, 'Operator Training Level': 2.6, 'Absenteeism Rate (%)': 1.7}, {'Name': 'Member_3_3', 'Operator Experience (years)': 3.5, 'Operator Training Level': 1.5, 'Absenteeism Rate (%)': 3.3}]",10.15,2.05,Category C,Supplier Z,10,1,150,33043.61,528655.99,26.37,4.33,2.52,660.87,6.31,65.0,150.0,3.0,200.0
Factory 1,2020-01-09,Location A,Type 1,59,0.0,Irregular,6.34,Batch 25,92.54,10,665,2,826,No,100,2000,Shift 1,3.82,4,"[{'Name': 'Member_4_0', 'Operator Experience (years)': 6.0, 'Operator Training Level': 3.4, 'Absenteeism Rate (%)': 1.37}, {'Name': 'Member_4_1', 'Operator Experience (years)': 7.5, 'Operator Training Level': 3.1, 'Absenteeism Rate (%)': 3.1}, {'Name': 'Member_4_2', 'Operator Experience (years)': 1.8, 'Operator Training Level': 1.4, 'Absenteeism Rate (%)': 2.6}, {'Name': 'Member_4_3', 'Operator Experience (years)': 0.0, 'Operator Training Level': 1.6, 'Absenteeism Rate (%)': 0.5}]",12.52,1.89,Category A,Supplier Z,0,0,70,0.0,358469.96,20.55,3.52,2.42,717.06,8.14,65.0,150.0,3.0,199.9
Factory 1,2020-01-09,Location A,Type 1,59,0.0,Irregular,6.34,Batch 26,91.94,10,665,2,826,No,100,2000,Shift 2,4.7,4,"[{'Name': 'Member_5_0', 'Operator Experience (years)': 6.6, 'Operator Training Level': 3.3, 'Absenteeism Rate (%)': 1.69}, {'Name': 'Member_5_1', 'Operator Experience (years)': 5.6, 'Operator Training Level': 3.5, 'Absenteeism Rate (%)': 1.1}, {'Name': 'Member_5_2', 'Operator Experience (years)': 1.8, 'Operator Training Level': 1.4, 'Absenteeism Rate (%)': 2.2}, {'Name': 'Member_5_3', 'Operator Experience (years)': 4.8, 'Operator Training Level': 2.0, 'Absenteeism Rate (%)': 5.1}]",15.08,2.52,Category A,Supplier Z,0,0,70,0.0,339049.8,20.67,3.83,1.91,678.21,7.9,65.0,150.0,2.9,200.0
Factory 1,2020-01-09,Location A,Type 3,57,0.5,Irregular,7.05,Batch 27,86.82,30,932,1,774,No,500,10000,Shift 3,5.95,4,"[{'Name': 'Member_6_0', 'Operator Experience (years)': 9.7, 'Operator Training Level': 4.0, 'Absenteeism Rate (%)': 1.07}, {'Name': 'Member_6_1', 'Operator Experience (years)': 4.6, 'Operator Training Level': 3.8, 'Absenteeism Rate (%)': 3.6}, {'Name': 'Member_6_2', 'Operator Experience (years)': 5.6, 'Operator Training Level': 2.6, 'Absenteeism Rate (%)': 2.2}, {'Name': 'Member_6_3', 'Operator Experience (years)': 3.9, 'Operator Training Level': 1.3, 'Absenteeism Rate (%)': 2.9}]",18.0,2.44,Category C,Supplier Z,10,1,150,29638.61,474181.9,26.44,4.53,3.14,592.77,6.04,65.1,150.0,3.1,200.0
Factory 1,2020-01-10,Location A,Type 2,53,0.0,Irregular,8.89,Batch 28,88.95,20,877,1,867,No,300,6000,Shift 1,5.78,4,"[{'Name': 'Member_7_0', 'Operator Experience (years)': 9.2, 'Operator Training Level': 4.4, 'Absenteeism Rate (%)': 1.63}, {'Name': 'Member_7_1', 'Operator Experience (years)': 6.3, 'Operator Training Level': 2.3, 'Absenteeism Rate (%)': 2.6}, {'Name': 'Member_7_2', 'Operator Experience (years)': 5.9, 'Operator Training Level': 2.1, 'Absenteeism Rate (%)': 6.3}, {'Name': 'Member_7_3', 'Operator Experience (years)': 1.7, 'Operator Training Level': 1.6, 'Absenteeism Rate (%)': 6.1}]",20.6,4.16,Category B,Supplier X,0,0,50,0.0,350654.95,12.82,5.46,4.45,584.49,6.63,65.0,150.0,3.0,200.0
Factory 1,2020-01-10,Location A,Type 1,59,0.0,Irregular,6.34,Batch 29,91.49,10,665,2,826,No,100,2000,Shift 2,5.03,4,"[{'Name': 'Member_8_0', 'Operator Experience (years)': 5.9, 'Operator Training Level': 4.6, 'Absenteeism Rate (%)': 2.35}, {'Name': 'Member_8_1', 'Operator Experience (years)': 4.6, 'Operator Training Level': 2.1, 'Absenteeism Rate (%)': 4.7}, {'Name': 'Member_8_2', 'Operator Experience (years)': 5.3, 'Operator Training Level': 1.4, 'Absenteeism Rate (%)': 4.4}, {'Name': 'Member_8_3', 'Operator Experience (years)': 4.3, 'Operator Training Level': 1.6, 'Absenteeism Rate (%)': 1.9}]",23.02,3.34,Category A,Supplier Z,0,0,70,0.0,326078.5,20.79,4.24,3.33,652.26,7.64,65.0,150.0,3.0,200.0
Factory 1,2020-01-10,Location A,Type 1,59,0.0,Irregular,6.34,Batch 30,91.39,10,665,2,826,No,100,2000,Shift 3,4.6,4,"[{'Name': 'Member_9_0', 'Operator Experience (years)': 8.3, 'Operator Training Level': 3.5, 'Absenteeism Rate (%)': 1.58}, {'Name': 'Member_9_1', 'Operator Experience (years)': 3.9, 'Operator Training Level': 2.2, 'Absenteeism Rate (%)': 4.3}, {'Name': 'Member_9_2', 'Operator Experience (years)': 2.1, 'Operator Training Level': 2.9, 'Absenteeism Rate (%)': 4.6}, {'Name': 'Member_9_3', 'Operator Experience (years)': 4.1, 'Operator Training Level': 1.0, 'Absenteeism Rate (%)': 5.5}]",25.42,4.0,Category A,Supplier Z,0,0,70,0.0,325829.52,20.88,4.57,3.79,651.76,7.49,65.0,150.0,3.0,200.1
Factory 1,2020-01-11,Location A,Type 1,59,0.0,Irregular,6.34,Batch 31,91.54,10,665,2,826,No,100,2000,Shift 1,6.15,4,"[{'Name': 'Member_10_0', 'Operator Experience (years)': 9.9, 'Operator Training Level': 3.6, 'Absenteeism Rate (%)': 0.88}, {'Name': 'Member_10_1', 'Operator Experience (years)': 7.9, 'Operator Training Level': 3.8, 'Absenteeism Rate (%)': 3.3}, {'Name': 'Member_10_2', 'Operator Experience (years)': 5.7, 'Operator Training Level': 2.1, 'Absenteeism Rate (%)': 2.2}, {'Name': 'Member_10_3', 'Operator Experience (years)': 1.1, 'Operator Training Level': 1.8, 'Absenteeism Rate (%)': 1.9}]",28.25,2.07,Category A,Supplier Z,0,0,70,0.0,321877.44,20.63,3.6,2.65,643.86,7.91,65.0,150.0,3.0,200.0
Factory 1,2020-01-11,Location A,Type 3,57,0.5,Irregular,7.05,Batch 32,86.4,30,932,1,774,No,500,10000,Shift 2,5.12,4,"[{'Name': 'Member_11_0', 'Operator Experience (years)': 6.6, 'Operator Training Level': 3.4, 'Absenteeism Rate (%)': 2.46}, {'Name': 'Member_11_1', 'Operator Experience (years)': 7.9, 'Operator Training Level': 3.6, 'Absenteeism Rate (%)': 2.5}, {'Name': 'Member_11_2', 'Operator Experience (years)': 3.4, 'Operator Training Level': 2.0, 'Absenteeism Rate (%)': 6.2}, {'Name': 'Member_11_3', 'Operator Experience (years)': 2.6, 'Operator Training Level': 1.0, 'Absenteeism Rate (%)': 6.0}]",30.75,4.29,Category C,Supplier Z,10,1,150,29018.61,464265.29,26.62,5.45,2.97,580.37,5.58,65.0,150.0,3.2,200.0
